# IntSight report packet log for interface s9-eth2.
[ 156=> 148:1023] (8 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00009440=>00009440
[ 188=> 156:1023] (5 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00004720=>00004720
[ 398=> 333:1023] (1 => 9, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0003=>0001(002) bits=00002352=>00000784
[ 390=> 334:1023] (2 => 9, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0008=>0001(007) bits=00006272=>00000784
[ 382=> 334:1023] (3 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0009=>0001(008) bits=00007056=>00000784
[ 375=> 335:1023] (4 => 9, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0006=>0001(005) bits=00004704=>00000784
[ 367=> 335:1023] (5 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0008=>0001(007) bits=00006272=>00000784
[ 360=> 336:1023] (6 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0004=>0001(003) bits=00003136=>00000784
[ 352=> 336:1023] (7 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0009=>0001(008) bits=00007056=>00000784
[ 345=> 337:1023] (8 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0003=>0001(002) bits=00002352=>00000784
[ 401=> 337:1023] (1 => 9, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0002=>0001(001) bits=00001568=>00000784
[ 393=> 337:1023] (2 => 9, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0002=>0001(001) bits=00001568=>00000784
[ 385=> 337:1023] (3 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0002=>0001(001) bits=00001568=>00000784
[ 377=> 337:1023] (4 => 9, p=0, len=5, cps=-----, sps=-----) hd=000 pkts=0002=>0001(001) bits=00001568=>00000784
[ 369=> 337:1023] (5 => 9, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0002=>0001(001) bits=00001568=>00000784
[ 361=> 337:1023] (6 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0001(001) bits=00001568=>00000784
[ 353=> 337:1023] (7 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0001(001) bits=00001568=>00000784
[ 345=> 337:1023] (8 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0006=>0001(005) bits=00004704=>00000784
[ 329=> 337:1023] (10 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0001(001) bits=00001568=>00000784
[ 321=> 337:1023] (11 => 9, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0001(001) bits=00001568=>00000784
[ 330=> 338:1023] (10 => 9, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0006=>0001(005) bits=00004704=>00000784
