epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
180,213,1023,5,1,0,4,----,----,000,2,2,0,1180,1180
149,213,2,9,1,0,5,-----,-----,000,2,2,0,2956,2956
182,215,1023,5,1,0,4,----,----,000,1,1,0,590,590
151,215,2,9,1,0,5,-----,-----,000,1,1,0,1478,1478
184,217,1023,5,1,0,4,----,----,000,1,1,0,590,590
152,217,2,9,1,0,5,-----,-----,000,1,1,0,1478,1478
186,219,1023,5,1,0,4,----,----,000,1,1,0,590,590
154,219,2,9,1,0,5,-----,-----,000,1,1,0,1478,1478
156,220,2,9,1,0,5,-----,-----,000,1,1,0,1478,1478
158,222,2,9,1,0,5,-----,-----,000,1,1,0,1478,1478
160,224,2,9,1,0,5,-----,-----,000,1,1,0,1478,1478
188,220,1023,5,1,0,4,----,----,000,1,1,0,590,590
389,397,1023,2,1,0,2,--,--,000,1,1,0,98,98
381,397,1023,3,1,0,2,--,--,000,1,1,0,98,98
373,397,1023,4,1,0,3,---,---,000,1,1,0,98,98
365,397,1023,5,1,0,4,----,----,000,1,1,0,98,98
357,397,1023,6,1,0,3,---,---,000,1,1,0,98,98
349,398,1023,7,1,0,5,-----,-----,000,1,1,0,98,98
341,398,1023,8,1,0,4,----,----,000,1,1,0,98,98
333,398,1023,9,1,0,5,-----,-----,000,1,1,0,98,98
325,398,1023,10,1,0,6,------,------,000,1,1,0,98,98
317,398,1023,11,1,0,6,------,------,000,1,1,0,98,98
390,398,1023,2,1,0,2,--,--,000,1,1,0,98,98
382,398,1023,3,1,0,2,--,--,000,2,1,1,196,98
375,399,1023,4,1,0,3,---,---,000,1,1,0,98,98
367,399,1023,5,1,0,4,----,----,000,2,1,1,196,98
359,400,1023,6,1,0,3,---,---,000,3,1,2,294,98
352,400,1023,7,1,0,5,-----,-----,000,2,1,1,196,98
344,401,1023,8,1,0,4,----,----,000,3,1,2,294,98
337,401,1023,9,1,0,5,-----,-----,000,2,1,1,196,98
330,402,1023,10,1,0,6,------,------,000,1,1,0,98,98
