epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
180,188,1023,5,4,0,2,--,--,000,6,2,4,3540,1180
148,188,1023,9,4,0,5,-----,-----,000,4,2,2,2360,1180
182,190,1023,5,4,0,2,--,--,000,3,1,2,1770,590
150,190,1023,9,4,0,5,-----,-----,000,2,1,1,1180,590
184,192,1023,5,4,0,2,--,--,000,3,1,2,1770,590
152,192,1023,9,4,0,5,-----,-----,000,2,1,1,1180,590
186,194,1023,5,4,0,2,--,--,000,3,1,2,1770,590
154,194,1023,9,4,0,5,-----,-----,000,2,1,1,1180,590
188,196,1023,5,4,0,2,--,--,000,3,1,2,1770,590
156,196,1023,9,4,0,5,-----,-----,000,1,1,0,590,590
397,373,1023,1,4,0,3,---,---,000,3,1,2,294,98
390,373,1023,2,4,0,2,--,--,000,2,1,1,196,98
382,374,1023,3,4,0,3,---,---,000,3,1,2,294,98
399,374,1023,1,4,0,3,---,---,000,1,1,0,98,98
391,374,1023,2,4,0,2,--,--,000,1,1,0,98,98
383,375,1023,3,4,0,3,---,---,000,1,1,0,98,98
367,375,1023,5,4,0,2,--,--,000,1,1,0,98,98
359,375,1023,6,4,0,3,---,---,000,1,1,0,98,98
351,375,1023,7,4,0,3,---,---,000,1,1,0,98,98
343,375,1023,8,4,0,4,----,----,000,1,1,0,98,98
335,375,1023,9,4,0,5,-----,-----,000,1,1,0,98,98
327,375,1023,10,4,0,4,----,----,000,1,1,0,98,98
319,375,1023,11,4,0,5,-----,-----,000,1,1,0,98,98
367,375,1023,5,4,0,2,--,--,000,5,1,4,490,98
360,376,1023,6,4,0,3,---,---,000,1,1,0,98,98
352,376,1023,7,4,0,3,---,---,000,5,1,4,490,98
345,377,1023,8,4,0,4,----,----,000,2,1,1,196,98
337,377,1023,9,4,0,5,-----,-----,000,5,1,4,490,98
330,378,1023,10,4,0,4,----,----,000,3,1,2,294,98
